"Year, Month",Price,Import Germany,Import Belgium,Import France,Import Italy,Import Poland,Export Germany,Export Belgium,Export France,Export Italy,Export Poland,Airplane Mode,Maritime Mode,Road Mode,Railway Mode,Inland Waterways Mode,Total quantity
2021 Q1,60.82,26.11,13.61,5.39,4.00,3.39,44.12,21.33,17.21,8.23,6.46,44.35,14.27,17.20,10.59,8.81,41.38
2021 Q2,68.83,27.34,15.08,5.64,4.52,3.49,46.80,22.63,17.63,8.44,6.85,45.59,14.48,18.72,11.04,9.24,43.59
2021 Q3,73.47,26.68,15.76,5.58,4.19,3.39,47.02,22.97,17.87,8.19,6.80,42.36,14.59,16.34,10.51,8.77,40.80
2021 Q4,79.59,28.63,16.88,6.44,4.47,4.17,50.45,24.54,19.45,9.23,7.86,47.23,14.64,17.69,10.47,8.94,42.37
2022 Q1,100.3,28.79,17.29,6.43,4.32,4.10,52.09,25.77,18.91,9.44,7.94,39.52,14.14,17.64,10.81,9.07,41.96
2022 Q2,113.54,29.13,18.06,6.63,4.65,4.18,54.53,27.72,19.07,9.44,7.45,38.06,15.24,18.13,11.40,9.03,43.58
2022 Q3,100.71,26.16,17.42,6.55,4.03,4.04,52.24,25.75,18.31,8.40,7.06,38.58,14.98,15.64,11.16,7.90,39.68
2022 Q4,88.56,28.88,17.56,6.62,4.82,4.30,51.86,26.69,20.52,8.96,7.80,38.43,14.55,17.68,10.72,8.55,41.89
2023 Q1,81.17,30.87,16.49,6.25,4.91,4.21,55.51,26.05,19.92,9.99,8.30,34.77,13.90,16.34,11.12,8.45,39.84
2023 Q2,78.32,30.27,17.68,5.98,4.90,4.09,53.14,25.43,19.47,9.42,7.82,34.74,13.69,16.95,9.56,8.55,40.17
2023 Q3,86.66,28.22,16.37,5.45,4.55,4.13,51.33,26.06,18.31,8.71,7.44,34.76,13.26,14.85,9.19,7.89,36.95
2023 Q4,83.72,28.93,16.29,5.70,4.93,4.41,50.63,25.90,19.70,9.56,8.18,36.76,13.52,16.09,9.61,8.02,38.62
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
